Time,X,Y,Z
1,0.52,-0.84,9.6
2,0.61,-0.74,9.69
3,0.57,-0.66,9.87
4,0.48,-0.67,10.01
5,0.45,-0.71,9.9
6,0.51,-0.76,9.67
7,0.47,-0.78,9.61
8,0.42,-0.83,9.62
9,0.42,-0.85,9.62
10,0.49,-0.79,9.74
11,0.48,-0.73,9.97
12,0.51,-0.72,9.94
13,0.53,-0.79,9.77
14,0.5,-0.83,9.64
15,0.45,-0.82,9.66
16,0.4,-0.85,9.71
17,0.41,-0.83,9.73
18,0.51,-0.77,9.79
19,0.53,-0.78,9.76
20,0.48,-0.79,9.83
21,0.45,-0.76,9.83
22,0.53,-0.76,9.78
23,0.51,-0.81,9.73
24,0.49,-0.84,9.63
25,0.52,-0.8,9.64
26,0.55,-0.74,9.7
27,0.55,-0.68,9.91
28,0.55,-0.69,9.95
29,0.54,-0.73,9.78
30,0.54,-0.77,9.64
31,0.5,-0.81,9.57
32,0.54,-0.8,9.64
33,0.5,-0.74,9.87
34,0.43,-0.72,10.03
35,0.29,-0.8,9.94
36,0.36,-0.8,9.81
37,0.56,-0.69,9.73
38,0.49,-0.74,9.69
39,0.41,-0.85,9.51
40,0.47,-0.85,9.5
41,0.58,-0.75,9.61
42,0.54,-0.74,9.72
43,0.51,-0.73,9.83
44,0.48,-0.68,9.98
45,0.63,-0.67,9.77
46,0.45,-0.8,9.77
47,0.14,-1.01,9.74
48,0.3,-0.94,9.69
49,0.51,-0.77,9.73
50,0.33,-0.73,9.84
51,0.11,-0.81,9.77
52,0,-0.78,9.83
53,0.05,-0.66,9.76
54,0.03,-0.68,9.73
55,-0.07,-0.65,9.86
56,-0.12,-0.52,10.26
57,-0.21,-0.44,10.44
58,-0.37,-0.51,10.41
59,-0.7,-0.82,10.05
60,-0.84,-1,9.71
61,-0.71,-0.77,9.75
62,-0.7,-0.6,10.18
63,-0.96,-0.52,10.24
64,-1.18,-0.58,9.93
65,-1.22,-0.5,9.62
66,-1.11,-0.38,9.39
67,-1.02,-0.19,9.68
68,-0.67,-0.01,10.18
69,-0.52,-0.13,10.37
70,-0.52,-0.45,10.1
71,-0.25,-0.68,9.62
72,0.03,-0.75,9.42
73,0.1,-0.92,9.07
74,-0.03,-1.14,8.79
75,0.13,-1.12,8.65
76,0.41,-0.76,9.08
77,0.53,-0.23,9.94
78,0.49,0.15,10.87
79,0.18,0.15,11.6
80,0.12,-0.18,12
81,0.47,-0.51,11.34
82,0.71,-0.89,9.68
83,0.67,-1.21,8.07
84,0.56,-1.34,7.61
85,0.28,-1.04,8.8
86,0.04,-0.64,10.5
87,0.36,-0.39,11.16
88,0.91,-0.31,10.59
89,0.95,-0.52,10.01
90,0.6,-0.76,9.51
91,0.31,-1.05,8.97
92,0.25,-1.04,8.9
93,0.06,-1,8.95
94,-0.06,-0.99,8.93
95,-0.45,-0.98,9.49
96,-0.73,-0.9,10.46
97,-0.79,-0.83,10.8
98,-0.66,-0.95,10.01
99,-0.54,-1.24,9.08
100,-0.34,-1.28,8.6
101,-0.11,-1.19,8.58
102,-0.11,-1.26,8.87
103,-0.23,-1.41,8.86
104,-0.43,-1.52,8.69
105,-0.37,-1.26,8.91
106,-0.16,-0.84,9.62
107,0.08,-0.6,9.76
108,0.21,-0.59,9.56
109,0.36,-0.52,9.45
110,0.46,-0.3,9.87
111,0.48,-0.16,10.44
112,0.49,-0.28,10.52
